"","player","url","mv","citizenship","position","foot","current_club","youth_club","youth_club_country"
"123","Theo Hernández","https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808","€50.00m","France","Defender - Left-Back","left","AC Milan","CF Rayo Majadaho","Spain"
"124","Christian Pulisic","https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779","€50.00m","United","Attack - Right Winger","right","AC Milan","PA Classics","USA"
"125","Joshua Kimmich","https://www.transfermarkt.com/joshua-kimmich/profil/spieler/161056","€50.00m","Germany","Midfield - Defensive Midfield","right","Bayern Munich","Bösingen Yth.","Germany"
"126","Arda Güler","https://www.transfermarkt.com/arda-guler/profil/spieler/861410","€45.00m","Türkiye","Attack - Right Winger","left","Real Madrid","G.Birligi Yth","Türkiye"
"127","Kenan Yildiz","https://www.transfermarkt.com/kenan-yildiz/profil/spieler/845654","€45.00m","Türkiye","Attack - Left Winger","both","Juventus FC","SV Sallern Jgd.","Germany"
"128","Victor Boniface","https://www.transfermarkt.com/victor-boniface/profil/spieler/656681","€45.00m","Nigeria","Attack - Centre-Forward","right","Bayer 04 Leverkusen","Real Sapphire","Nigeria"
"129","Giorgio Scalvini","https://www.transfermarkt.com/giorgio-scalvini/profil/spieler/571604","€45.00m","Italy","Defender - Centre-Back","right","Atalanta BC","Brescia Youth","Italy"
"130","Pape Matar Sarr","https://www.transfermarkt.com/pape-matar-sarr/profil/spieler/568693","€45.00m","Senegal","Midfield - Central Midfield","right","Tottenham Hotspur","Génération Foot","Senegal"
"131","Destiny Udogie","https://www.transfermarkt.com/destiny-udogie/profil/spieler/556385","€45.00m","Italy","Defender - Left-Back","left","Tottenham Hotspur","Hellas Verona Y","Italy"
"132","Pedro Porro","https://www.transfermarkt.com/pedro-porro/profil/spieler/553875","€45.00m","Spain","Defender - Right-Back","right","Tottenham Hotspur","Rayo U19","Spain"
"133","Gonçalo Inácio","https://www.transfermarkt.com/goncalo-inacio/profil/spieler/549006","€45.00m","Portugal","Defender - Centre-Back","left","Sporting CP","Almada Yth.","Portugal"
"134","Jonathan David","https://www.transfermarkt.com/jonathan-david/profil/spieler/533738","€45.00m","Canada","Attack - Centre-Forward","both","LOSC Lille","Ottawa ISC","Canada"
"135","Kaoru Mitoma","https://www.transfermarkt.com/kaoru-mitoma/profil/spieler/504849","€45.00m","Japan","Attack - Left Winger","right","Brighton & Hove Albion","Frontale U18","Japan"
"136","Min-jae Kim","https://www.transfermarkt.com/min-jae-kim/profil/spieler/503482","€45.00m","Korea,","Defender - Centre-Back","right","Bayern Munich","Dooryong ES","Korea, South"
"137","Riccardo Calafiori","https://www.transfermarkt.com/riccardo-calafiori/profil/spieler/502821","€45.00m","Italy","Defender - Left-Back","left","Arsenal FC","AS Rom Youth","Italy"
"138","Giorgi Mamardashvili","https://www.transfermarkt.com/giorgi-mamardashvili/profil/spieler/502676","€45.00m","Georgia","Goalkeeper","left","Valencia CF","Gagra Acad.","Georgia"
"139","Morten Hjulmand","https://www.transfermarkt.com/morten-hjulmand/profil/spieler/461496","€45.00m","Denmark","Midfield - Defensive Midfield","right","Sporting CP","FCK Youth","Denmark"
